icd,kw
V26.9,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , người đi xe bị thương trong tai nạn giao thông"
V27,người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật
V27.0,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , người lái xe bị thương trong tai nạn không giao thông"
V27.1,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , hành khách bị thương trong tai nạn không giao thông"
V27.2,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , người đi xe bị thương trong tai nạn không giao thông"
V27.3,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , người bị thương trong khi lên hoặc xuống xe"
V27.4,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , người lái xe bị thương trong tai nạn giao thông"
V27.5,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , hành khách bị thương trong tai nạn giao thông"
V27.9,"người đi xe máy bị thương khi va chạm với vật cố định hay tĩnh vật , người đi xe bị thương trong tai nạn giao thông"
V28,người đi xe máy bị thương trong tai nạn giao thông không có va chạm
V28.0,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , người lái xe bị thương trong tai nạn không giao thông"
V24.5,"người đi xe máy bị thương khi va chạm với xe tải nặng hay xe buýt , hành khách bị thương trong tai nạn giao thông"
V24.9,"người đi xe máy bị thương khi va chạm với xe tải nặng hay xe buýt , người đi xe bị thương trong tai nạn giao thông"
V25,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray"
V25.0,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , người lái xe bị thương trong tai nạn không giao thông"
V25.1,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , hành khách bị thương trong tai nạn không giao thông"
V25.2,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , người đi xe bị thương trong tai nạn không giao thông"
V25.3,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , người bị thương trong khi lên hoặc xuống xe"
V25.4,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , người lái xe bị thương trong tai nạn giao thông"
V25.5,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , hành khách bị thương trong tai nạn giao thông"
V29,người đi xe máy bị thương trong tai nạn giao thông khác và không xác định
V29.0,người lái xe máy bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V29.1,người ngồi sau xe máy bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông
V29.2,"người đi xe máy , bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn không giao thông"
V29.3,người đi xe máy bị thương trong tai nạn không giao thông không xác định
V29.4,lái xe bị thương khi va chạm với xe cơ giới khác và không xác định trong tai nạn giao thông
V51.3,"người trên xe tải , xe kéo bị thương do va chạm với xe đạp , người đi trên xe ô tô bị thương trong tai nạn không giao thông"
V51.4,"người trên xe tải , xe kéo bị thương do va chạm với xe đạp , người bị thương khi lên hoặc xuống xe"
V83.3,người đi trên xe công nghiệp chuyên dụng bị thương trong tai nạn giao thông
V83.4,người bị thương khi lên xuống xe công nghiệp chuyên dụng
V83.5,người lái xe công nghiệp chuyên dụng bị thương trong tai nạn không giao thông
V83.6,hành khách trên xe công nghiệp chuyên dụng bị thương trong tai nạn không giao thông
V84.9,người ở xe nông nghiệp không xác định bị thương không phải do tai nạn giao thông
V85,người đi trên xe xây dựng chuyên dụng bị thương trong tai nạn giao thông
V85.0,lái xe của xe xây dựng bị thương trong tai nạn giao thông
V85.1,người đi trên xe xây dựng bị thương trong tai nạn giao thông
V85.2,người ở bên ngoài xe xây dựng bị thương trong tai nạn giao thông
V83.0,người lái xe công nghiệp chuyên dụng bị thương trong tai nạn giao thông
V83.1,hành khách xe công nghiệp chuyên dụng bị thương trong tai nạn giao thông
V83.2,người ở bên ngoài xe công nghiệp chuyên dụng bị thương trong tai nạn giao thông
V82.5,người đi trên tàu điện bị thương do ngã trong tàu điện
V82.6,người đi trên tàu điện bị thương khi ngã từ tàu điện
V82.7,người đi trên tàu điện bị thương khi trật ray mà không có va chạm trước đó
V82.8,người đi trên tàu điện bị thương trong tai nạn giao thông xác định khác
V82.9,người đi trên tàu điện bị thương trong tai nạn giao thông không xác định
V83,người đi trên xe chuyên dụng chủ yếu sử dụng trong khu công nghiệp bị thương do tai nạn giao thông
V82.1,người đi trên tàu điện bị thương khi va chạm với xe cơ giới trong tai nạn giao thông
V82.2,người đi trên tàu điện bị thương khi va chạm khối hàng hóa bị lăn
V82.3,người đi trên tàu điện bị thương khi va chạm với vật khác
V82.4,người đi trên tàu điện bị thương khi lên hay xuống tàu
V83.7,người ở ngoài xe công nghiệp chuyên dụng bị thương trong tai nạn không giao thông
V83.9,người đi trên xe công nghiệp chuyên dụng bị thương trong tai nạn không giao thông
V84,người đi trên xe nông nghiệp chuyên dụng bị thương trong tai nạn giao thông
V84.0,lái xe chuyên dùng trong nông nghiệp ( xe nông nghiệp ) bị thương trong tai nạn giao thông
V84.1,người đi xe nông nghiệp bị thương trong tai nạn giao thông
V84.2,người ở bên ngoài xe nông nghiệp bị thương trong tai nạn giao thông
V84.3,người của xe nông nghiệp không xác định bị thương trong tai nạn giao thông
V84.4,người bị thương khi lên xuống xe nông nghiệp
V85.3,người trên xe xây dựng không xác định bị thương trong tai nạn giao thông
V85.4,người bị thương trong khi lên xuống xe xây dựng
V85.5,lái xe của xe xây dựng bị thương không phải do tai nạn giao thông
V84.5,lái xe của xe nông nghiệp bị thương không phải do tai nạn giao thông
V84.6,người đi xe nông nghiệp bị thương không phải do tai nạn giao thông
V84.7,người ở bên ngoài xe nông nghiệp bị thương không phải do tai nạn giao thông
V44.0,"người đi xe ô tô con bị thương khi va chạm với xe tải nặng hay xe buýt , người lái xe bị thương trong tai nạn không giao thông"
V44.1,"người đi xe ô tô con bị thương khi va chạm với xe tải nặng hay xe buýt , hành khách bị thương trong tai nạn không giao thông"
V44.2,"người đi xe ô tô con bị thương khi va chạm với xe tải nặng hay xe buýt , người bên ngoài xe bị thương trong tai nạn không giao thông"
V44.3,"người đi xe ô tô con bị thương khi va chạm với xe tải nặng hay xe buýt , người đi trên xe ô tô bị thương trong tai nạn không giao thông"
V44.4,"người đi xe ô tô con bị thương khi va chạm với xe tải nặng hay xe buýt , người bị thương khi lên hoặc xuống xe"
V56.5,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , lái xe bị thương trong tai nạn giao thông"
V56.6,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn giao thông"
V56.7,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , người bên ngoài xe bị thương trong tai nạn giao thông"
V56.9,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , người đi trên ô tô bị thương trong tai nạn giao thông"
V55.9,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với tàu hỏa , ô tô ray , người đi trên ô tô bị thương trong tai nạn giao thông"
V56,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác"
V56.0,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , lái xe bị thương trong tai nạn không giao thông"
V56.1,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn không giao thông"
V56.2,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , người bên ngoài xe bị thương trong tai nạn không giao thông"
V56.3,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , người đi trên xe ô tô bị thương trong tai nạn không giao thông"
V56.4,"người đi xe bán tải , xe tải nhẹ bị thương do va chạm với xe thô sơ khác , người bị thương khi lên hoặc xuống xe"
V61.9,"người đi xe tải nặng bị thương khi va chạm với xe đạp , người đi trên xe tải nặng bị thương trong tai nạn giao thông"
V62,người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh
V62.0,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , lái xe bị thương trong tai nạn không giao thông"
V62.1,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , hành khách bị thương trong tai nạn không giao thông"
V62.2,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , người bên ngoài xe bị thương trong tai nạn không giao thông"
V62.3,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , người đi trên xe tải nặng bị thương trong tai nạn không giao thông"
V62.4,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , người bị thương khi lên hoặc xuống xe"
V62.5,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , lái xe bị thương trong tai nạn giao thông"
V62.6,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , hành khách bị thương trong tai nạn giao thông"
V66.5,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , lái xe bị thương trong tai nạn giao thông"
V66.6,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn giao thông"
V66.7,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , người bên ngoài xe bị thương trong tai nạn giao thông"
V65.7,"người đi xe tải nặng bị thương khi va chạm với tàu hỏa hay ô tô ray , người bên ngoài xe bị thương trong tai nạn giao thông"
V65.9,"người đi xe tải nặng bị thương khi va chạm với tàu hỏa hay ô tô ray , người đi trên xe tải nặng bị thương trong tai nạn giao thông"
V66,người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác
V66.0,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , lái xe bị thương trong tai nạn không giao thông"
V66.1,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn không giao thông"
V66.2,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , người bên ngoài xe bị thương trong tai nạn không giao thông"
V62.7,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , người bên ngoài xe bị thương trong tai nạn giao thông"
V62.9,"người đi xe tải nặng bị thương khi va chạm với xe cơ giới 2 hoặc 3 bánh , người đi trên xe tải nặng bị thương trong tai nạn giao thông"
V63,"người đi xe tải nặng bị thương khi va chạm với ô tô , tải , xe kéo"
V63.0,"người đi xe tải nặng bị thương khi va chạm với ô tô , tải , xe kéo , lái xe bị thương trong tai nạn không giao thông"
